timestamp(ms);Target Air Temp;Air Temp;Water Temp;Heater Control;Heater Power;Patch State;
"1740409516,58";"95,38";;;;;;
"1740409516,583";;"24,68";"22,41";;;;
"1740409516,586";;;;"1413,98";;;
"1740409516,588";;;;;"100";;
"1740409516,589";;;;;;"1";
"1740409517,581";"95,35";;;;;;
"1740409517,584";;"24,7";"22,41";;;;
"1740409517,587";;;;"1413,22";;;
"1740409517,589";;;;;"100";;
"1740409517,59";;;;;;"1";
"1740409518,582";"95,34";;;;;;
"1740409518,585";;"24,76";"22,42";;;;
"1740409518,588";;;;"1411,65";;;
"1740409518,59";;;;;"100";"1";
"1740409519,583";"95,3";;;;;;
"1740409519,586";;"24,86";"22,42";;;;
"1740409519,589";;;;"1408,93";;;
"1740409519,591";;;;;"100";;
"1740409519,592";;;;;;"1";
"1740409520,584";"95,28";;;;;;
"1740409520,587";;"24,95";"22,43";;;;
"1740409520,59";;;;"1406,7";;;
"1740409520,592";;;;;"100";"1";
"1740409521,585";"95,26";;;;;;
"1740409521,588";;"25,02";"22,43";;;;
"1740409521,591";;;;"1404,91";;;
"1740409521,593";;;;;"100";"1";
"1740409522,586";"95,29";;;;;;
"1740409522,589";;"25,11";"22,43";;;;
"1740409522,592";;;;"1403,59";;;
"1740409522,594";;;;;"100";;
"1740409522,595";;;;;;"1";
"1740409523,587";"95,31";;;;;;
"1740409523,59";;"25,21";"22,42";;;;
"1740409523,593";;;;"1402,18";;;
"1740409523,595";;;;;"100";;
"1740409523,596";;;;;;"1";
"1740409524,588";"95,31";;;;;;
"1740409524,591";;"25,27";"22,42";;;;
"1740409524,594";;;;"1400,85";;;
"1740409524,596";;;;;"100";"1";
"1740409525,589";"95,29";;;;;;
"1740409525,592";;"25,36";"22,43";;;;
"1740409525,595";;;;"1398,88";;;
"1740409525,598";;;;;"100";"1";
"1740409526,59";"95,27";;;;;;
"1740409526,593";;"25,45";"22,43";;;;
"1740409526,596";;;;"1396,43";;;
"1740409526,598";;;;;"100";"1";
"1740409527,591";"95,24";;;;;;
"1740409527,594";;"25,54";"22,44";;;;
"1740409527,596";;;;"1394,04";;;
"1740409527,599";;;;;"100";"1";
"1740409528,592";"95,18";;;;;;
"1740409528,595";;"25,64";"22,45";;;;
"1740409528,597";;;;"1390,95";;;
"1740409528,6";;;;;"100";"1";
"1740409529,593";"95,14";;;;;;
"1740409529,596";;"25,72";"22,47";;;;
"1740409529,599";;;;"1388,58";;;
"1740409529,601";;;;;"100";"1";
"1740409530,594";"95,1";;;;;;
"1740409530,597";;"25,81";"22,48";;;;
"1740409530,6";;;;"1385,94";;;
"1740409530,602";;;;;"100";;
"1740409530,603";;;;;;"1";
"1740409531,596";"95,08";;;;;;
"1740409531,598";;"25,92";"22,48";;;;
"1740409531,601";;;;"1383,49";;;
"1740409531,603";;;;;"100";"1";
"1740409532,596";"95,07";;;;;;
"1740409532,599";;"25,98";"22,48";;;;
"1740409532,602";;;;"1381,95";;;
"1740409532,605";;;;;"100";"1";
"1740409533,598";"95,04";;;;;;
"1740409533,6";;"26,05";"22,49";;;;
"1740409533,603";;;;"1380,14";;;
"1740409533,606";;;;;"100";"1";
"1740409534,598";"95,04";;;;;;
"1740409534,601";;"26,15";"22,49";;;;
"1740409534,604";;;;"1377,96";;;
"1740409534,607";;;;;"100";"1";
"1740409535,599";"95,04";;;;;;
"1740409535,602";;"26,21";"22,49";;;;
"1740409535,605";;;;"1376,77";;;
"1740409535,608";;;;;"100";"1";
"1740409536,6";"95,04";;;;;;
"1740409536,603";;"26,29";"22,49";;;;
"1740409536,606";;;;"1375,28";;;
"1740409536,609";;;;;"100";"1";
"1740409537,601";"95,04";;;;;;
"1740409537,604";;"26,36";"22,49";;;;
"1740409537,607";;;;"1373,82";;;
"1740409537,61";;;;;"100";"1";
"1740409538,602";"95,02";;;;;;
"1740409538,605";;"26,43";"22,5";;;;
"1740409538,608";;;;"1371,98";;;
"1740409538,611";;;;;"100";"1";
"1740409539,603";"95";;;;;;
"1740409539,606";;"26,55";"22,5";;;;
"1740409539,609";;;;"1369,32";;;
"1740409539,612";;;;;"100";"1";
"1740409540,604";"94,98";;;;;;
"1740409540,607";;"26,59";"22,51";;;;
"1740409540,61";;;;"1367,94";;;
"1740409540,613";;;;;"100";"1";
"1740409541,606";"94,92";;;;;;
"1740409541,608";;"26,67";"22,52";;;;
"1740409541,611";;;;"1365,17";;;
"1740409541,614";;;;;"100";"1";
"1740409542,606";"94,84";;;;;;
"1740409542,609";;"26,76";"22,54";;;;
"1740409542,612";;;;"1361,87";;;
"1740409542,615";;;;;"100";"1";
"1740409543,607";"94,77";;;;;;
"1740409543,61";;"26,86";"22,56";;;;
"1740409543,613";;;;"1358,51";;;
"1740409543,616";;;;;"100";"1";
"1740409544,609";"94,68";;;;;;
"1740409544,611";;"26,95";"22,58";;;;
"1740409544,614";;;;"1354,78";;;
"1740409544,617";;;;;"100";"1";
"1740409545,61";"94,61";;;;;;
"1740409545,612";;"27,04";"22,6";;;;
"1740409545,615";;;;"1351,66";;;
"1740409545,618";;;;;"100";"1";
"1740409546,61";"94,56";;;;;;
"1740409546,613";;"27,12";"22,61";;;;
"1740409546,616";;;;"1349";;;
"1740409546,619";;;;;"100";"1";
"1740409547,611";"94,52";;;;;;
"1740409547,614";;"27,19";"22,62";;;;
"1740409547,617";;;;"1346,95";;;
"1740409547,619";;;;;"100";;
"1740409547,62";;;;;;"1";
"1740409548,612";"94,5";;;;;;
"1740409548,615";;"27,24";"22,62";;;;
"1740409548,618";;;;"1345,44";;;
"1740409548,621";;;;;"100";"1";
"1740409549,613";"94,51";;;;;;
"1740409549,616";;"27,32";"22,62";;;;
"1740409549,619";;;;"1344,11";;;
"1740409549,622";;;;;"100";"1";
"1740409550,614";"94,5";;;;;;
"1740409550,617";;"27,4";"22,62";;;;
"1740409550,62";;;;"1342,25";;;
"1740409550,623";;;;;"100";"1";
"1740409551,615";"94,48";;;;;;
"1740409551,618";;"27,49";"22,63";;;;
"1740409551,621";;;;"1340,12";;;
"1740409551,624";;;;;"100";"1";
"1740409552,617";"94,44";;;;;;
"1740409552,619";;"27,55";"22,64";;;;
"1740409552,622";;;;"1338,2";;;
"1740409552,625";;;;;"100";"1";
"1740409553,618";"94,39";;;;;;
"1740409553,62";;"27,61";;;;;
"1740409553,621";;;"22,65";;;;
"1740409553,623";;;;"1335,94";;;
"1740409553,626";;;;;"100";"1";
"1740409554,619";"94,32";;;;;;
"1740409554,622";;"27,7";"22,67";;;;
"1740409554,624";;;;"1332,88";;;
"1740409554,627";;;;;"100";"1";
"1740409555,62";"94,24";;;;;;
"1740409555,622";;"27,76";"22,69";;;;
"1740409555,625";;;;"1329,95";;;
"1740409555,628";;;;;"100";"1";
"1740409556,62";"94,16";;;;;;
"1740409556,623";;"27,83";"22,71";;;;
"1740409556,626";;;;"1326,86";;;
"1740409556,629";;;;;"100";"1";
"1740409557,621";"94,1";;;;;;
"1740409557,624";;"27,91";"22,73";;;;
"1740409557,627";;;;"1324,25";;;
"1740409557,63";;;;;"100";"1";
"1740409558,622";"94,07";;;;;;
"1740409558,625";;"27,98";;;;;
"1740409558,626";;;"22,73";;;;
"1740409558,628";;;;"1322,26";;;
"1740409558,631";;;;;"100";"1";
"1740409559,623";"94,04";;;;;;
"1740409559,626";;"28,01";"22,74";;;;
"1740409559,629";;;;"1321,07";;;
"1740409559,632";;;;;"100";"1";
"1740409560,624";"94,02";;;;;;
"1740409560,627";;"28,09";"22,75";;;;
"1740409560,63";;;;"1318,96";;;
"1740409560,633";;;;;"100";"1";
"1740409561,625";"93,99";;;;;;
"1740409561,628";;"28,14";"22,75";;;;
"1740409561,631";;;;"1317,47";;;
"1740409561,634";;;;;"100";"1";
"1740409562,627";"93,98";;;;;;
"1740409562,629";;"28,21";"22,76";;;;
"1740409562,632";;;;"1315,67";;;
"1740409562,635";;;;;"100";"1";
"1740409563,628";"93,95";;;;;;
"1740409563,63";;"28,26";"22,76";;;;
"1740409563,633";;;;"1314,34";;;
"1740409563,636";;;;;"100";"1";
"1740409564,629";"93,9";;;;;;
"1740409564,631";;"28,28";"22,77";;;;
"1740409564,634";;;;"1312,72";;;
"1740409564,637";;;;;"100";"1";
"1740409565,629";"93,85";;;;;;
"1740409565,632";;"28,35";"22,79";;;;
"1740409565,635";;;;"1310,54";;;
"1740409565,638";;;;;"100";"1";
"1740409566,631";"93,81";;;;;;
"1740409566,634";;"28,39";"22,8";;;;
"1740409566,636";;;;"1308,94";;;
"1740409566,639";;;;;"100";"1";
"1740409567,631";"93,76";;;;;;
"1740409567,634";;"28,47";"22,81";;;;
"1740409567,637";;;;"1306,15";;;
"1740409567,64";;;;;"100";"1";
"1740409568,632";"93,68";;;;;;
"1740409568,635";;"28,51";"22,83";;;;
"1740409568,638";;;;"1303,75";;;
"1740409568,641";;;;;"100";"1";
"1740409569,634";"93,6";;;;;;
"1740409569,636";;"28,6";"22,85";;;;
"1740409569,639";;;;"1300,26";;;
"1740409569,642";;;;;"100";"1";
"1740409570,635";"93,54";;;;;;
"1740409570,637";;"28,66";"22,87";;;;
"1740409570,64";;;;"1297,89";;;
"1740409570,643";;;;;"100";"1";
"1740409571,636";"93,5";;;;;;
"1740409571,639";;"28,72";"22,87";;;;
"1740409571,641";;;;"1296,11";;;
"1740409571,644";;;;;"100";"1";
"1740409572,636";"93,49";;;;;;
"1740409572,639";;"28,78";"22,88";;;;
"1740409572,642";;;;"1294,65";;;
"1740409572,645";;;;;"100";"1";
"1740409573,638";"93,49";;;;;;
"1740409573,64";;"28,82";"22,88";;;;
"1740409573,643";;;;"1293,93";;;
"1740409573,646";;;;;"100";"1";
"1740409574,638";"93,51";;;;;;
"1740409574,641";;"28,87";"22,87";;;;
"1740409574,644";;;;"1293,19";;;
"1740409574,647";;;;;"100";"1";
"1740409575,64";"93,54";;;;;;
"1740409575,642";;"28,91";"22,86";;;;
"1740409575,645";;;;"1293,06";;;
"1740409575,648";;;;;"100";"1";
"1740409576,641";"93,55";;;;;;
"1740409576,643";;"28,97";"22,86";;;;
"1740409576,646";;;;"1292,08";;;
"1740409576,649";;;;;"100";"1";
"1740409577,642";"93,54";;;;;;
"1740409577,644";;"29,03";"22,87";;;;
"1740409577,647";;;;"1290,67";;;
"1740409577,65";;;;;"100";"1";
"1740409578,643";"93,48";;;;;;
"1740409578,645";;"29,09";"22,88";;;;
"1740409578,648";;;;"1288,33";;;
"1740409578,651";;;;;"100";"1";
"1740409579,644";"93,42";;;;;;
"1740409579,646";;"29,15";"22,9";;;;
"1740409579,649";;;;"1285,88";;;
"1740409579,652";;;;;"100";"1";
"1740409580,645";"93,37";;;;;;
"1740409580,647";;"29,19";"22,91";;;;
"1740409580,65";;;;"1284,1";;;
"1740409580,653";;;;;"100";"1";
"1740409581,646";"93,34";;;;;;
"1740409581,648";;"29,25";"22,91";;;;
"1740409581,651";;;;"1282,43";;;
"1740409581,654";;;;;"100";"1";
"1740409582,646";"93,31";;;;;;
"1740409582,65";;"29,28";"22,92";;;;
"1740409582,652";;;;"1281,07";;;
"1740409582,655";;;;;"100";"1";
"1740409583,648";"93,24";;;;;;
"1740409583,65";;"29,34";"22,94";;;;
"1740409583,653";;;;"1278,62";;;
"1740409583,656";;;;;"100";"1";
"1740409584,649";"93,16";;;;;;
"1740409584,651";;"29,35";"22,96";;;;
"1740409584,654";;;;"1276,68";;;
"1740409584,657";;;;;"100";"1";
"1740409585,65";"93,07";;;;;;
"1740409585,652";;"29,42";"22,98";;;;
"1740409585,655";;;;"1273,6";;;
"1740409585,658";;;;;"100";"1";
"1740409586,651";"93,01";;;;;;
"1740409586,653";;"29,42";"23";;;;
"1740409586,656";;;;"1272,27";;;
"1740409586,659";;;;;"100";"1";
"1740409587,652";"92,94";;;;;;
"1740409587,654";;"29,52";"23,01";;;;
"1740409587,657";;;;"1269,13";;;
"1740409587,66";;;;;"100";"1";
"1740409588,653";"92,89";;;;;;
"1740409588,655";;"29,56";;;;;
"1740409588,656";;;"23,03";;;;
"1740409588,658";;;;"1267,1";;;
"1740409588,661";;;;;"100";"1";
"1740409589,654";"92,82";;;;;;
"1740409589,657";;"29,61";"23,04";;;;
"1740409589,659";;;;"1264,87";;;
"1740409589,662";;;;;"100";"1";
"1740409590,655";"92,76";;;;;;
"1740409590,657";;"29,64";;;;;
"1740409590,658";;;"23,06";;;;
"1740409590,66";;;;"1263,14";;;
"1740409590,663";;;;;"100";"1";
"1740409591,656";"92,7";;;;;;
"1740409591,658";;"29,65";;;;;
"1740409591,659";;;"23,07";;;;
"1740409591,661";;;;"1261,63";;;
"1740409591,664";;;;;"100";"1";
"1740409592,657";"92,67";;;;;;
"1740409592,66";;"29,73";"23,08";;;;
"1740409592,662";;;;"1259,26";;;
"1740409592,665";;;;;"100";;
"1740409592,666";;;;;;"1";
"1740409593,658";"92,64";;;;;;
"1740409593,66";;"29,75";;;;;
"1740409593,661";;;"23,09";;;;
"1740409593,664";;;;"1258,33";;;
"1740409593,666";;;;;"100";"1";
"1740409594,659";"92,62";;;;;;
"1740409594,661";;"29,81";"23,1";;;;
"1740409594,664";;;;"1256,68";;;
"1740409594,667";;;;;"100";"1";
"1740409595,66";"92,6";;;;;;
"1740409595,662";;"29,85";;;;;
"1740409595,663";;;"23,1";;;;
"1740409595,665";;;;"1255,62";;;
"1740409595,668";;;;;"100";"1";
"1740409596,661";"92,58";;;;;;
"1740409596,663";;"29,88";;;;;
"1740409596,664";;;"23,1";;;;
"1740409596,666";;;;"1254,67";;;
"1740409596,669";;;;;"100";"1";
"1740409597,662";"92,55";;;;;;
"1740409597,664";;"29,91";"23,11";;;;
"1740409597,667";;;;"1253,31";;;
"1740409597,67";;;;;"100";"1";
"1740409598,663";"92,52";;;;;;
"1740409598,666";;"30";"23,12";;;;
"1740409598,668";;;;"1251,02";;;
"1740409598,671";;;;;"100";"1";
"1740409599,664";"92,46";;;;;;
"1740409599,667";;"30,01";"23,13";;;;
"1740409599,669";;;;"1249,77";;;
"1740409599,672";;;;;"100";"1";
"1740409600,665";"92,4";;;;;;
"1740409600,668";;"30,08";"23,15";;;;
"1740409600,671";;;;"1246,87";;;
"1740409600,673";;;;;"100";;
"1740409600,674";;;;;;"1";
"1740409601,666";"92,32";;;;;;
"1740409601,668";;"30,1";"23,17";;;;
"1740409601,671";;;;"1245,06";;;
"1740409601,674";;;;;"100";"1";
"1740409602,667";"92,27";;;;;;
"1740409602,669";;"30,12";"23,18";;;;
"1740409602,672";;;;"1243,63";;;
"1740409602,675";;;;;"100";"1";
"1740409603,668";"92,24";;;;;;
"1740409603,67";;"30,15";;;;;
"1740409603,671";;;"23,19";;;;
"1740409603,674";;;;"1242,44";;;
"1740409603,676";;;;;"100";"1";
"1740409604,669";"92,23";;;;;;
"1740409604,672";;"30,17";"23,19";;;;
"1740409604,674";;;;"1241,91";;;
"1740409604,677";;;;;"100";"1";
"1740409605,67";"92,22";;;;;;
"1740409605,672";;"30,24";;;;;
