timestamp(ms),Air Temp,
"1741869793.268","21.46",
"1741869794.268","21.46",
"1741869795.269","21.48",
"1741869796.27","21.47",
"1741869797.273","21.47",
"1741869798.272","21.44",
"1741869799.273","21.46",
"1741869800.274","21.48",
"1741869801.275","21.46",
"1741869802.277","21.46",
"1741869803.277","21.45",
"1741869804.28","21.46",
"1741869805.279","21.46",
"1741869806.28","21.46",
"1741869807.282","21.46",
"1741869808.283","21.48",
"1741869809.284","21.45",
"1741869810.284","21.48",
"1741869811.288","21.48",
"1741869812.287","21.46",
"1741869813.288","21.47",
"1741869814.289","21.46",
"1741869815.29","21.48",
"1741869816.291","21.48",
"1741869817.292","21.47",
"1741869818.293","21.46",
"1741869819.294","21.48",
"1741869820.295","21.48",
"1741869821.296","21.47",
"1741869822.297","21.47",
"1741869823.297","21.45",
"1741869824.299","21.46",
"1741869825.3","21.48",
"1741869826.3","21.48",
"1741869827.302","21.48",
"1741869828.303","21.46",
"1741869829.304","21.45",
"1741869830.305","21.46",
"1741869831.306","21.48",
"1741869832.307","21.47",
"1741869833.308","21.48",
"1741869834.309","21.48",
"1741869835.31","21.46",
"1741869836.311","21.47",
"1741869837.314","21.49",
"1741869838.313","21.48",
"1741869839.321","21.47",
"1741869840.319","21.48",
"1741869841.316","21.47",
"1741869842.317","21.48",
"1741869843.334","21.46",
"1741869844.319","21.5",
"1741869845.32","21.48",
"1741869846.327","21.48",
"1741869847.322","21.48",
"1741869848.323","21.48",
"1741869849.329","21.47",
"1741869850.325","21.48",
"1741869851.326","21.48",
"1741869852.327","21.48",
"1741869853.328","21.48",
"1741869854.329","21.47",
"1741869855.33","21.47",
"1741869856.331","21.47",
"1741869857.332","21.47",
"1741869858.333","21.47",
"1741869859.334","21.5",
"1741869860.335","21.46",
"1741869861.336","21.48",
"1741869862.337","21.48",
"1741869863.338","21.48",
"1741869864.339","21.49",
"1741869865.34","21.47",
"1741869866.342","21.48",
"1741869867.342","21.48",
"1741869868.343","21.49",
"1741869869.344","21.48",
"1741869870.345","21.47",
"1741869871.346","21.48",
"1741869872.347","21.48",
"1741869873.349","21.49",
"1741869874.35","21.46",
"1741869875.35","21.46",
"1741869876.351","21.49",
"1741869877.352","21.48",
"1741869878.358","21.48",
"1741869879.354","21.49",
"1741869880.355","21.48",
"1741869881.356","21.49",
"1741869882.357","21.48",
"1741869883.36","21.46",
"1741869884.36","21.5",
"1741869885.36","21.48",
"1741869886.367","21.49",
"1741869887.363","21.49",
"1741869888.363","21.48",
"1741869889.364","21.5",
"1741869890.366","21.48",
"1741869891.371","21.49",
"1741869892.37","21.5",
"1741869893.369","21.5",
"1741869894.369","21.5",
"1741869895.371","21.49",
"1741869896.371","21.5",
"1741869897.373","21.49",
"1741869898.374","21.49",
"1741869899.375","21.49",
"1741869900.375","21.48",
"1741869901.376","21.51",
"1741869902.377","21.5",
"1741869903.378","21.5",
"1741869904.379","21.49",
"1741869905.38","21.48",
"1741869906.381","21.5",
"1741869907.383","21.49",
"1741869908.383","21.51",
"1741869909.388","21.49",
"1741869910.385","21.49",
"1741869911.386","21.5",
"1741869912.387","21.5",
"1741869913.388","21.49",
"1741869914.389","21.5",
"1741869915.39","21.49",
"1741869916.391","21.49",
"1741869917.392","21.51",
"1741869918.393","21.49",
"1741869919.394","21.49",
"1741869920.395","21.49",
"1741869921.396","21.51",
"1741869922.398","21.5",
"1741869923.398","21.51",
"1741869924.399","21.5",
"1741869925.4","21.51",
"1741869926.401","21.5",
"1741869927.402","21.5",
"1741869928.407","21.49",
"1741869929.404","21.52",
"1741869930.405","21.49",
"1741869931.406","21.5",
"1741869932.408","21.5",
"1741869933.408","21.49",
"1741869934.472","21.5",
"1741869935.411","21.49",
"1741869936.412","21.5",
"1741869937.413","21.5",
"1741869938.417","21.5",
"1741869939.421","21.51",
"1741869940.415","21.5",
"1741869941.417","21.51",
"1741869942.417","21.51",
"1741869943.418","21.52",
"1741869944.42","21.5",
"1741869945.421","21.51",
"1741869946.422","21.5",
"1741869947.423","21.5",
"1741869948.424","21.53",
"1741869949.425","21.52",
"1741869950.426","21.5",
"1741869951.427","21.53",
"1741869952.428","21.51",
"1741869953.429","21.54",
"1741869954.43","21.53",
"1741869955.431","21.52",
"1741869956.434","21.52",
"1741869957.432","21.5",
"1741869958.434","21.51",
"1741869959.435","21.53",
"1741869960.436","21.51",
"1741869961.436","21.53",
"1741869962.438","21.52",
"1741869963.44","21.52",
"1741869964.44","21.52",
"1741869965.441","21.52",
"1741869966.442","21.53",
"1741869967.443","21.52",
"1741869968.444","21.54",
"1741869969.445","21.52",
"1741869970.446","21.53",
"1741869971.447","21.52",
"1741869972.449","21.53",
"1741869973.449","21.52",
"1741869974.45","21.52",
"1741869975.451","21.54",
"1741869976.456","21.53",
"1741869977.453","21.53",
"1741869978.454","21.52",
"1741869979.455","21.53",
"1741869980.456","21.53",
"1741869981.457","21.54",
"1741869982.458","21.53",
"1741869983.459","21.52",
"1741869984.46","21.53",
"1741869985.461","21.53",
"1741869986.462","21.53",
"1741869987.463","21.54",
"1741869988.464","21.53",
"1741869989.466","21.54",
"1741869990.466","21.55",
"1741869991.467","21.54",
"1741869992.468","21.53",
"1741869993.469","21.52",
"1741869994.47","21.54",
"1741869995.471","21.53",
"1741869996.472","21.55",
"1741869997.473","21.54",
"1741869998.474","21.55",
"1741869999.475","21.55",
"1741870000.476","21.53",
"1741870001.477","21.55",
"1741870002.478","21.52",
"1741870003.479","21.54",
"1741870004.487","21.53",
"1741870005.481","21.54",
"1741870006.482","21.55",
"1741870007.483","21.56",
"1741870008.484","21.54",
"1741870009.485","21.53",
"1741870010.486","21.54",
"1741870011.488","21.56",
"1741870012.488","21.56",
"1741870013.489","21.54",
"1741870014.49","21.55",
"1741870015.491","21.55",
"1741870016.492","21.56",
"1741870017.493","21.55",
"1741870018.494","21.56",
"1741870019.495","21.56",
"1741870020.497","21.55",
"1741870021.498","21.56",
"1741870022.507","21.57",
"1741870023.499","21.57",
"1741870024.5","21.56",
"1741870025.501","21.56",
"1741870026.502","21.56",
"1741870027.504","21.57",
"1741870028.505","21.54",
"1741870029.506","21.56",
"1741870030.507","21.54",
"1741870031.508","21.58",
"1741870032.509","21.56",
"1741870033.51","21.55",
"1741870034.511","21.56",
"1741870035.512","21.56",
"1741870036.513","21.56",
"1741870037.514","21.56",
"1741870038.515","21.57",
"1741870039.516","21.57",
"1741870040.517","21.57",
"1741870041.518","21.57",
"1741870042.519","21.58",
"1741870043.52","21.56",
"1741870044.521","21.57",
"1741870045.522","21.58",
"1741870046.523","21.58",
"1741870047.524","21.57",
"1741870048.525","21.57",
"1741870049.526","21.56",
"1741870050.527","21.58",
"1741870051.531","21.59",
"1741870052.529","21.59",
"1741870053.53","21.57",
"1741870054.531","21.57",
"1741870055.532","21.58",
"1741870056.533","21.57",
"1741870057.534","21.57",
"1741870058.535","21.59",
"1741870059.536","21.58",
"1741870060.537","21.59",
"1741870061.538","21.59",
"1741870062.539","21.58",
"1741870063.54","21.57",
"1741870064.541","21.56",
"1741870065.542","21.6",
"1741870066.543","21.58",
"1741870067.544","21.58",
"1741870068.545","21.58",
"1741870069.546","21.59",
"1741870070.548","21.58",
"1741870071.548","21.58",
"1741870072.549","21.6",
"1741870073.55","21.59",
"1741870074.551","21.58",
"1741870075.552","21.58",
"1741870076.553","21.59",
"1741870077.554","21.57",
"1741870078.555","21.6",
"1741870079.556","21.6",
"1741870080.557","21.6",
"1741870081.558","21.6",
"1741870082.559","21.6",
"1741870083.56","21.59",
"1741870084.561","21.6",
"1741870085.562","21.6",
"1741870086.563","21.6",
"1741870087.565","21.59",
"1741870088.565","21.6",
"1741870089.566","21.59",
"1741870090.568","21.6",
"1741870091.568","21.61",
"1741870092.569","21.61",
"1741870093.57","21.6",
